english	sign
he worry result	he correct anxious
why didn't he come yesterday	why he past come no
you are always complaining	you everyday complain
tomorrow he come to see you	he come you look tomorrow
near my house a fire broke out	my house near fire
getting sick with fever her sister died	sister sick ill died
she was born in jaipur	she born place j a i p u r
it seems fun to me	that look me like
where we are we know not	we know no where we
how about going to the movies	movie look go okay
my name is sanjay	me name s a n j a y
i was born in february	me born f
advertisement	advertisement
frequently such a thing occurs	thing occurs everyday
it is a necessary but undesirable is his view	she view necessary undesirable
laughing suddenly was the bride	bride shock laugh
he got sick suffered and died	he sick suffered died
i cannot bear to see it	me no look it
stand up	up stand
her house was set on fire by her	she lit own house
you were born in july	you born j y
she has not seen him in months	she no look her big month
24 hours a day	day two four hours
on sunday he went to goa	he go g o a sunday
49 people are walking	4 9 people walk
grandfather went to the toilet	grandfather bathroom go
she was born in france 	she born place f r a n c e
6 people are there in her family	her family 6 people
how you doing	how_are_you
accuse	accuse
he is talking about music	he talk music
756	7 5 6
what you work as	you job what
this island is not occupied by a lot of people	big people no home this island
wait let me think	me thinking wait
i like pink color	me pink like
they wanted to do it for the last 29 years	they like work past 2 9 year
august, september, october,	a tiewrist s blank s october
he forgot to mail the letter	he forgot mail letter
artist	artist
bengali is spoken in kolkata	b e n g a l i say k o l k a t a
it is a sheer waste of time	this big waste time
i was born in september	me born s blank s
they read the books yesterday	they read the book past
do your homework	you homework finish
458	4 5 8
air	air
i reject this view completely	me reject this view complete
the store is not open today	store no open today
march, april, may, june,	m march a blank a m a y j rain
how are you doing	how_are_you
she was born on 12 july 1929	she born 1 2 j y 1 9 2 9
my grandmother passed away in 2008	me grandmother died 2 0 0 8
made in japan was the car	drive made J a p a n
he will give her a large folder	he her take large folder
are she interested in flowers	she like flower
you were born on 12 may 1922	you born 1 2 m a y 1 9 2 2
she was born in patna	she born place p a t n a
4 people are there in her family	her family 4 people
her long speech was boring us all	she long speech bored us
dad just left to office	father go office
december may and february	d cold m a y and f
august may or april	a tiewrist m a y or a blank a
she eats food at canteen	she eat there cafeteria
they finished the books yesterday	they finish the book past
he eats lunch at a cafeteria	he eat there cafeteria
they doesn’t not know play cricket	they know no how play cricket
i am being a musician	me be musician
89	8 9
in january 2018 she travelled she said	she say she travel in january 2 0 1 8
it's 12 noon	1 2 afternoon
five minutes wait please	please sit 5 minutes
96 people are walking	9 6 people walk
her sister passed away in 2011	her sister died 2 0 1 1
9 people are walking	9 people walk
cash she has	she money have
everyone felt sorry for chandralekha	people know sorry c h a n d r a l e k h a
does he speak english	he tell english
96 people are walking	9 6 people walk
father went to office	father go office
i look good	me beauty
he is going to put the baby to bed	he baby bed
i'll show and explain the picture	picture look explain
there was a fire nearby her house	her house near fire
he eats food at canteen	he eat there cafeteria
becoming doctor is her dream	she wish doctor
does he want to drink coffee or tea	he want tea or coffee
she was born in december	she born d cold
an expenditure which has no value	money no money
ulka passed away in 1996	u l k a died 1 9 9 6
they wanted to do it for the last 27 years	they like work past 2 7 year
football is my favorite game	f o o t b a l l me like game
today can you go	you today go can
she turned 34 on this birthday	she birthday 3 4
109	1 0 9
it was easy for me to do so	that me easy work
all of the apples are rotten	all apple worm rotten
karate is my favourite sport	k a r a t e me like game
our kids i want to live here but there are no jobs	me want our children stay this no work
team	team
tomorrow she will go to america	she tomorrow go a m e r i c a
we should love our neighbors	we like our and
near my home there was a fire	my house near fire
636	6 3 6
please call an ambulance	please phone ambulance
they went to kerala on thursday	they go k e r a l a thursday
you are a boy 	you boy
science yesha does not like	y e s h a no like science
she thought for a few minutes	she think few minutes
something to eat she wants	she eat something want
bus stop	bus_stop
she was sad to know this	she know sad
8 people are there in his family	his family 8 people
the shop carried leather goods	shop leather goods
the other day thank you	thank you other day
from december to may	d cold m a y between
i love karate	me like k a r a t e
does he have cash	he money have
love	love
everyone knows this book	everyone know book
car you cannot park here	you no keep you drive this
she could write everything in it	she everything happened write
25 people are walking	2 5 people walk
it hardly ever rains here	here hardly rain
next year he will change school	he change school develop year
i have got the order to shoot you	me order you shoot
everyone speaks well of her	everyone say good her
i reject this view completely	me reject this view complete
she was born on 13 december 1968	she born 1 3 d cold 1 9 6 8
hidden rooms were there behind the bookcase	bookcase behind hidden room
tthe congress captured the state today	congress today capture state
she was just joking 	she happy
she have been ordered to shoot you	she order you shoot
i am bored doing nothing	me bored doing nothing
do you have time on thursday	you time thursday
the wedding will be tomorrow	wedding tomorrow
she was born in sakri in 2005	she born place s a k r i 2 0 0 5
i have no clue how he escaped	me know no how he escape
hospital	hospital
he shall become a doctor	he wish doctor
may march and july	m a y m march and j y
